champ,description_question,variable_reponse,description_reponse,,,,,,
Q59r5,Q59r5: Activités de rapprochement interculturel - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Activités de rapprochement interculturel,,,,,,
Q59r6,Q59r6: Soutient psychosocial - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Soutient psychosocial,,,,,,
Q59r6,Q59r6: Soutient psychosocial - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Soutient psychosocial,,,,,,
Q59r7,Q59r7: Banques alimentaires - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Banques alimentaires,,,,,,
Q59r7,Q59r7: Banques alimentaires - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Banques alimentaires,,,,,,
Q59r8,Q59r8: Aide à l’emploi - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Aide à l’emploi,,,,,,
Q59r8,Q59r8: Aide à l’emploi - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Aide à l’emploi,,,,,,
Q59r9,Q59r9: Garde d’enfants - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Garde d’enfants,,,,,,
Q59r9,Q59r9: Garde d’enfants - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Garde d’enfants,,,,,,
Q59r10,Q59r10: Autre activité (PRÉCISER) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Autre activité (PRÉCISER),,,,,,
Q59r10,Q59r10: Autre activité (PRÉCISER) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Autre activité (PRÉCISER),,,,,,
Q59r11,Q59r11: Je ne sais pas - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Je ne sais pas,,,,,,
Q59r11,Q59r11: Je ne sais pas - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Je ne sais pas,,,,,,
Q59r12,Q59r12: Je préfère ne pas répondre - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q59r12,Q59r12: Je préfère ne pas répondre - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un lieu de culte ou religieux?,1,Je préfère ne pas répondre,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",1,Au moins une fois par semaine,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",2,Au moins une fois par mois,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",3,Au moins 3 fois par année,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",4,Une ou deux fois par année,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",97,Jamais,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",98,Je ne sais pas,,,,,,
Q60,"Q60: Dans les 12 derniers mois, à quelle fréquence avez-vous participé (hors bénévolat) à des activités ou reçu des services d’un organisme communautaire à Montréal?",99,Je préfère ne pas répondre,,,,,,
Q61r1,Q61r1: Activités culturelles et/ou sociales - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Activités culturelles et/ou sociales,,,,,,
Q61r1,Q61r1: Activités culturelles et/ou sociales - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Activités culturelles et/ou sociales,,,,,,
Q61r2,"Q61r2: Activités pratiques (cuisine collective, aide à la garderie, etc.) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?",0,"NO TO: Activités pratiques (cuisine collective, aide à la garderie, etc.)",,,,,,
Q61r2,"Q61r2: Activités pratiques (cuisine collective, aide à la garderie, etc.) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?",1,"Activités pratiques (cuisine collective, aide à la garderie, etc.)",,,,,,
Q61r3,"Q61r3: Activités sportives (gymnases, etc.) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?",0,"NO TO: Activités sportives (gymnases, etc.)",,,,,,
Q61r3,"Q61r3: Activités sportives (gymnases, etc.) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?",1,"Activités sportives (gymnases, etc.)",,,,,,
Q61r4,Q61r4: Activités de rapprochement interculturel - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Activités de rapprochement interculturel,,,,,,
Q61r4,Q61r4: Activités de rapprochement interculturel - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Activités de rapprochement interculturel,,,,,,
Q61r5,Q61r5: Soutient psychosocial - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Soutient psychosocial,,,,,,
Q61r5,Q61r5: Soutient psychosocial - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Soutient psychosocial,,,,,,
Q61r6,Q61r6: Banques alimentaires - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Banques alimentaires,,,,,,
Q61r6,Q61r6: Banques alimentaires - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Banques alimentaires,,,,,,
Q61r7,Q61r7: Aide à l’emploi - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Aide à l’emploi,,,,,,
Q61r7,Q61r7: Aide à l’emploi - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Aide à l’emploi,,,,,,
Q61r8,Q61r8: Garde d’enfants - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Garde d’enfants,,,,,,
Q61r8,Q61r8: Garde d’enfants - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Garde d’enfants,,,,,,
Q61r9,Q61r9: Activités de francisation - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Activités de francisation,,,,,,
Q61r9,Q61r9: Activités de francisation - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Activités de francisation,,,,,,
Q61r10,Q61r10: Activités d’intégration - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Activités d’intégration,,,,,,
Q61r10,Q61r10: Activités d’intégration - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Activités d’intégration,,,,,,
Q61r96,Q61r96: Autre activité (PRÉCISER) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Autre activité (PRÉCISER),,,,,,
Q61r96,Q61r96: Autre activité (PRÉCISER) - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Autre activité (PRÉCISER),,,,,,
Q61r98,Q61r98: Je ne sais pas - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Je ne sais pas,,,,,,
Q61r98,Q61r98: Je ne sais pas - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Je ne sais pas,,,,,,
Q61r99,Q61r99: Je préfère ne pas répondre - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q61r99,Q61r99: Je préfère ne pas répondre - À quelles activités avez-vous participés ou quels services avez-vous reçu dans les 12 derniers mois dans un organisme communautaire?,1,Je préfère ne pas répondre,,,,,,
Q62,"Q62: Au cours des 12 derniers mois, avez–vous utilisé Internet pour consulter des informations sur le Site de la Ville de Montréal ou pour effectuer des opérations avec les services en ligne de la Ville de Montréal?",1,Oui,,,,,,
Q62,"Q62: Au cours des 12 derniers mois, avez–vous utilisé Internet pour consulter des informations sur le Site de la Ville de Montréal ou pour effectuer des opérations avec les services en ligne de la Ville de Montréal?",2,Non,,,,,,
Q62,"Q62: Au cours des 12 derniers mois, avez–vous utilisé Internet pour consulter des informations sur le Site de la Ville de Montréal ou pour effectuer des opérations avec les services en ligne de la Ville de Montréal?",8,Je ne sais pas,,,,,,
Q62,"Q62: Au cours des 12 derniers mois, avez–vous utilisé Internet pour consulter des informations sur le Site de la Ville de Montréal ou pour effectuer des opérations avec les services en ligne de la Ville de Montréal?",9,Je préfère ne pas répondre,,,,,,
Q63,Q63: Connaissez-vous votre bibliothèque publique de quartier?,1,Oui,,,,,,
Q63,Q63: Connaissez-vous votre bibliothèque publique de quartier?,2,Non,,,,,,
Q63,Q63: Connaissez-vous votre bibliothèque publique de quartier?,8,Je ne sais pas,,,,,,
Q63,Q63: Connaissez-vous votre bibliothèque publique de quartier?,9,Je préfère ne pas répondre,,,,,,
Q64,Q64: À quelle fréquence fréquentez-vous votre bibliothèque publique de quartier?,1,Souvent,,,,,,
Q64,Q64: À quelle fréquence fréquentez-vous votre bibliothèque publique de quartier?,2,Parfois,,,,,,
Q64,Q64: À quelle fréquence fréquentez-vous votre bibliothèque publique de quartier?,3,Jamais,,,,,,
Q64,Q64: À quelle fréquence fréquentez-vous votre bibliothèque publique de quartier?,8,Je ne sais pas,,,,,,
Q64,Q64: À quelle fréquence fréquentez-vous votre bibliothèque publique de quartier?,9,Je préfère ne pas répondre,,,,,,
Q65r1,Q65r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Ne se sent pas bienvenu ou à l’aise,,,,,,
Q65r1,Q65r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Ne se sent pas bienvenu ou à l’aise,,,,,,
Q65r2,"Q65r2: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",0,"NO TO: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q65r2,"Q65r2: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",1,"Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q65r3,Q65r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q65r3,Q65r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q65r4,Q65r4: Les horaires ne conviennent pas - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Les horaires ne conviennent pas,,,,,,
Q65r4,Q65r4: Les horaires ne conviennent pas - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Les horaires ne conviennent pas,,,,,,
Q65r5,Q65r5: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder,,,,,,
Q65r5,Q65r5: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,La difficulté de concilier l’horaire de tous les enfants ou à les faire garder,,,,,,
Q65r6,Q65r6: Les activités ne sont pas adaptées à ma réalité - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Les activités ne sont pas adaptées à ma réalité,,,,,,
Q65r6,Q65r6: Les activités ne sont pas adaptées à ma réalité - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Les activités ne sont pas adaptées à ma réalité,,,,,,
Q65r7,Q65r7: Le manque d’information sur les services offerts - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Le manque d’information sur les services offerts,,,,,,
Q65r7,Q65r7: Le manque d’information sur les services offerts - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Le manque d’information sur les services offerts,,,,,,
Q65r8,Q65r8: Le manque de places - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Le manque de places,,,,,,
Q65r8,Q65r8: Le manque de places - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Le manque de places,,,,,,
Q65r9,Q65r9: Le coût - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Le coût,,,,,,
Q65r9,Q65r9: Le coût - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Le coût,,,,,,
Q65r10,Q65r10: Distance ou complexité pour se rendre - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Distance ou complexité pour se rendre,,,,,,
Q65r10,Q65r10: Distance ou complexité pour se rendre - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Distance ou complexité pour se rendre,,,,,,
Q65r11,Q65r11: Simplement un manque d’intérêt - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Simplement un manque d’intérêt,,,,,,
Q65r11,Q65r11: Simplement un manque d’intérêt - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Simplement un manque d’intérêt,,,,,,
Q65r98,Q65r98: Je ne sais pas - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Je ne sais pas,,,,,,
Q65r98,Q65r98: Je ne sais pas - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Je ne sais pas,,,,,,
Q65r99,Q65r99: Je préfère ne pas répondre - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q65r99,Q65r99: Je préfère ne pas répondre - Pour quelles raisons n’utilisez–vous pas la bibliothèque ou ses services?,1,Je préfère ne pas répondre,,,,,,
Q66,Q66: Connaissez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,1,Oui,,,,,,
Q66,Q66: Connaissez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,2,Non,,,,,,
Q66,Q66: Connaissez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,8,Je ne sais pas,,,,,,
Q66,Q66: Connaissez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,9,Je préfère ne pas répondre,,,,,,
Q67,Q67: À quelle fréquence fréquentez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,1,Souvent,,,,,,
Q67,Q67: À quelle fréquence fréquentez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,2,Parfois,,,,,,
Q67,Q67: À quelle fréquence fréquentez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,3,Jamais,,,,,,
Q67,Q67: À quelle fréquence fréquentez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,8,Je ne sais pas,,,,,,
Q67,Q67: À quelle fréquence fréquentez-vous les installations culturelles municipales de votre quartier (maison de la culture)?,9,Je préfère ne pas répondre,,,,,,
Q68r1,Q68r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Ne se sent pas bienvenu ou à l’aise,,,,,,
Q68r1,Q68r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Ne se sent pas bienvenu ou à l’aise,,,,,,
Q68r2,"Q68r2: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)  - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?",0,"NO TO: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q68r2,"Q68r2: Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)  - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?",1,"Les locaux ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q68r3,Q68r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q68r3,Q68r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q68r4,Q68r4: Les horaires ne conviennent pas - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Les horaires ne conviennent pas,,,,,,
Q68r4,Q68r4: Les horaires ne conviennent pas - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Les horaires ne conviennent pas,,,,,,
Q68r5,Q68r5: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder,,,,,,
Q68r5,Q68r5: La difficulté de concilier l’horaire de tous les enfants ou à les faire garder - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,La difficulté de concilier l’horaire de tous les enfants ou à les faire garder,,,,,,
Q68r6,Q68r6: Les activités ne sont pas adaptées à ma réalité - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Les activités ne sont pas adaptées à ma réalité,,,,,,
Q68r6,Q68r6: Les activités ne sont pas adaptées à ma réalité - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Les activités ne sont pas adaptées à ma réalité,,,,,,
Q68r7,Q68r7: Le manque d’information sur les services offerts - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Le manque d’information sur les services offerts,,,,,,
Q68r7,Q68r7: Le manque d’information sur les services offerts - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Le manque d’information sur les services offerts,,,,,,
Q68r8,Q68r8: Le manque de places - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Le manque de places,,,,,,
Q68r8,Q68r8: Le manque de places - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Le manque de places,,,,,,
Q68r9,Q68r9: Le coût - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Le coût,,,,,,
Q68r9,Q68r9: Le coût - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Le coût,,,,,,
Q68r10,Q68r10: Distance ou complexité pour se rendre - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Distance ou complexité pour se rendre,,,,,,
Q68r10,Q68r10: Distance ou complexité pour se rendre - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Distance ou complexité pour se rendre,,,,,,
Q68r11,Q68r11: Simplement un manque d’intérêt - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Simplement un manque d’intérêt,,,,,,
Q68r11,Q68r11: Simplement un manque d’intérêt - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Simplement un manque d’intérêt,,,,,,
Q68r98,Q68r98: Je ne sais pas - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Je ne sais pas,,,,,,
Q68r98,Q68r98: Je ne sais pas - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Je ne sais pas,,,,,,
Q68r99,Q68r99: Je préfère ne pas répondre - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,0,NO TO: Je préfère ne pas répondre,,,,,,
Q68r99,Q68r99: Je préfère ne pas répondre - Pour quelles raisons n’utilisez–vous pas les installations culturelles municipales de votre quartier (maison de la culture)?,1,Je préfère ne pas répondre,,,,,,
Q69,"Q69: Connaissez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",1,Oui,,,,,,
Q69,"Q69: Connaissez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",2,Non,,,,,,
Q69,"Q69: Connaissez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",4,Je préfère ne pas répondre,,,,,,
Q69,"Q69: Connaissez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",8,Je ne sais pas,,,,,,
Q70,"Q70: À quelle fréquence fréquentez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",1,Souvent,,,,,,
Q70,"Q70: À quelle fréquence fréquentez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",2,Parfois,,,,,,
Q70,"Q70: À quelle fréquence fréquentez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",3,Jamais,,,,,,
Q70,"Q70: À quelle fréquence fréquentez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",8,Je ne sais pas,,,,,,
Q70,"Q70: À quelle fréquence fréquentez-vous les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport)?",9,Je préfère ne pas répondre,,,,,,
Q71r1,"Q71r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",0,NO TO: Ne se sent pas bienvenu ou à l’aise,,,,,,
Q71r1,"Q71r1: Ne se sent pas bienvenu ou à l’aise - Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",1,Ne se sent pas bienvenu ou à l’aise,,,,,,
Q71r2,"Q71r2: Les installations ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population) – Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",0,"NO TO: Les installations ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q71r2,"Q71r2: Les installations ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population) – Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",1,"Les installations ne sont pas accessibles universellement (l’accessibilité universelle permet à toute personne, quelles que soient ses capacités, l’utilisation identique ou similaire, autonome et simultanée des services offerts à l’ensemble de la population)",,,,,,
Q71r3,"Q71r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",0,NO TO: Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q71r3,"Q71r3: Obstacles reliés à la langue (difficulté de communiquer) - Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrains de sport) ?",1,Obstacles reliés à la langue (difficulté de communiquer),,,,,,
Q71r4,"Q71r4: Les horaires ne conviennent pas - Pour quelles raisons n’utilisez-vous pas les installations de sports et loisirs municipaux de votre quartier (parcs publics avec ou sans aire de jeu, piscines publiques, pataugeoires ou jets d’eau, arénas ou terrai",0,NO TO: Les horaires ne conviennent pas,,,,,,
